timestamp,temp_gpu,vram_used_mb,vram_total_mb,power_w,gpu_util_pct,sm_clock_mhz,time_sec
1784753942.800518,36,1414.75,16376.0,29.94,2,210,0.0
1784753943.0506835,36,1414.75,16376.0,26.96,9,210,0.2501654624938965
1784753943.3008626,36,1414.75,16376.0,26.96,9,210,0.5003445148468018
1784753943.5510416,36,1414.75,16376.0,26.7,17,210,0.750523567199707
1784753943.801192,36,1414.75,16376.0,26.7,17,210,1.0006740093231201
1784753944.0513024,36,1414.75,16376.0,24.88,8,210,1.2507843971252441
1784753944.3014653,36,1414.75,16376.0,24.88,8,210,1.5009472370147705
1784753944.5516534,36,1414.75,16376.0,21.53,12,210,1.7511353492736816
1784753944.8018355,36,1414.75,16376.0,21.53,12,210,2.0013175010681152
1784753945.0520356,36,1414.12,16376.0,19.59,9,210,2.2515175342559814
1784753945.3022254,36,1414.12,16376.0,19.59,9,210,2.5017073154449463
1784753945.5524266,36,1414.12,16376.0,19.57,14,210,2.751908540725708
1784753945.8026178,36,1414.12,16376.0,19.57,14,210,3.0020997524261475
1784753946.0527945,36,1414.12,16376.0,19.57,7,210,3.2522764205932617
1784753946.302972,36,1414.12,16376.0,19.57,7,210,3.5024540424346924
1784753946.5531626,36,1414.12,16376.0,19.66,12,210,3.7526445388793945
1784753946.8032994,36,1412.25,16376.0,19.66,12,210,4.002781391143799
1784753947.0534463,36,1412.25,16376.0,19.65,6,210,4.252928256988525
1784753947.3036118,36,1412.25,16376.0,19.65,6,210,4.503093719482422
1784753947.5538085,36,1412.25,16376.0,19.77,13,210,4.753290414810181
1784753947.8040018,36,1412.25,16376.0,19.77,13,210,5.003483772277832
1784753948.0541735,36,1412.25,16376.0,19.84,10,210,5.253655433654785
1784753948.3042974,36,1412.25,16376.0,19.84,10,210,5.503779411315918
1784753948.554457,36,1412.25,16376.0,19.94,14,210,5.753938913345337
1784753948.8046172,36,1412.25,16376.0,19.94,14,210,6.004099130630493
1784753949.0547826,36,1412.25,16376.0,19.94,7,210,6.25426459312439
1784753949.3049347,36,1412.25,16376.0,19.94,7,210,6.5044167041778564
1784753949.585467,36,1412.25,16376.0,19.85,14,210,6.784949064254761
1784753949.856517,36,1412.25,16376.0,19.85,14,210,7.055999040603638
1784753950.1066608,36,1412.25,16376.0,19.92,10,210,7.306142807006836
1784753950.3568149,36,1412.25,16376.0,19.92,10,210,7.5562968254089355
1784753950.6070092,36,1414.19,16376.0,20.06,17,210,7.806491136550903
1784753950.8571737,36,1414.19,16376.0,20.06,17,210,8.056655645370483
1784753951.1073525,36,1414.19,16376.0,19.91,7,210,8.30683445930481
1784753951.357525,36,1414.19,16376.0,19.91,7,210,8.557007074356079
1784753951.607701,36,1414.19,16376.0,19.88,18,210,8.807183027267456
1784753951.85789,36,1414.19,16376.0,19.88,18,210,9.057371854782104
1784753952.1080692,36,1414.19,16376.0,19.85,10,210,9.307551145553589
1784753952.358277,36,1414.19,16376.0,19.85,10,210,9.557759046554565
1784753952.6084661,36,1414.19,16376.0,19.91,8,210,9.807948112487793
1784753952.8586292,36,1414.19,16376.0,19.91,8,210,10.058111190795898
1784753953.1088028,36,1414.19,16376.0,19.84,17,210,10.308284759521484
1784753953.3589768,36,1414.19,16376.0,19.84,17,210,10.558458805084229
1784753953.6091378,36,1414.19,16376.0,19.81,8,210,10.808619737625122
1784753953.859323,36,1414.19,16376.0,19.81,8,210,11.058804988861084
1784753954.1094825,36,1414.19,16376.0,19.82,13,210,11.308964490890503
1784753954.3596385,36,1414.19,16376.0,19.82,13,210,11.559120416641235
1784753954.6098,36,1414.19,16376.0,19.73,10,210,11.809282064437866
1784753954.8599823,36,1414.19,16376.0,19.73,10,210,12.0594642162323
1784753955.110138,36,1414.19,16376.0,19.79,15,210,12.309619903564453
1784753955.3603184,36,1414.19,16376.0,19.79,15,210,12.559800386428833
1784753955.6105056,36,1413.44,16376.0,19.82,11,210,12.809987545013428
1784753955.8606715,36,1413.44,16376.0,19.82,11,210,13.060153484344482
1784753956.1108549,36,1413.44,16376.0,19.88,13,210,13.310336828231812
1784753956.361047,36,1413.44,16376.0,19.88,13,210,13.560528993606567
1784753956.6112142,36,1413.44,16376.0,19.82,10,210,13.810696125030518
1784753956.861393,36,1412.69,16376.0,19.82,10,210,14.060874938964844
1784753957.111565,36,1412.69,16376.0,19.93,17,210,14.311047077178955
1784753957.361739,36,1412.69,16376.0,19.93,17,210,14.56122088432312
1784753957.6119032,36,1412.69,16376.0,20.1,11,210,14.811385154724121
1784753957.8620596,36,1412.69,16376.0,20.1,11,210,15.061541557312012
1784753958.112239,36,1412.69,16376.0,19.98,17,210,15.311720848083496
1784753958.362412,36,1412.69,16376.0,19.98,17,210,15.561893939971924
1784753958.612563,36,1412.69,16376.0,20.01,9,210,15.812044858932495
1784753958.8627152,36,1412.69,16376.0,20.01,9,210,16.06219720840454
1784753959.1128836,36,1412.69,16376.0,20.19,20,210,16.312365531921387
1784753959.3630567,36,1412.69,16376.0,20.19,20,210,16.562538623809814
1784753959.6132088,36,1412.69,16376.0,20.13,11,210,16.81269073486328
1784753959.8633835,36,1412.69,16376.0,20.13,11,210,17.062865495681763
1784753960.1135373,36,1412.69,16376.0,20.06,17,210,17.313019275665283
1784753960.3636978,36,1412.69,16376.0,20.06,17,210,17.56317973136902
