timestamp,temp_gpu,vram_used_mb,vram_total_mb,power_w,gpu_util_pct,sm_clock_mhz,time_sec
1784753723.5360456,35,1401.12,16376.0,19.79,14,210,0.0
1784753723.786904,35,1415.75,16376.0,19.79,14,210,0.2508585453033447
1784753724.037071,35,2130.25,16376.0,20.02,18,210,0.5010254383087158
1784753724.288617,35,2386.25,16376.0,20.02,18,210,0.7525713443756104
1784753724.5388203,36,2490.25,16376.0,28.11,1,2625,1.002774715423584
1784753724.7889798,36,5592.25,16376.0,28.11,1,2625,1.252934217453003
1784753725.0391324,43,5592.25,16376.0,85.42,100,2760,1.503086805343628
1784753725.289283,43,5592.25,16376.0,85.42,100,2760,1.7532374858856201
1784753725.5394573,45,5592.25,16376.0,170.55,100,2760,2.0034117698669434
1784753725.7896087,45,5592.25,16376.0,170.55,100,2760,2.253563165664673
1784753726.0397637,46,5592.25,16376.0,218.67,100,2760,2.503718137741089
1784753726.2899168,46,5592.25,16376.0,218.67,100,2760,2.753871202468872
1784753726.5400736,46,5588.44,16376.0,219.9,100,2760,3.004028081893921
1784753726.7902174,46,5588.44,16376.0,219.9,100,2760,3.254171848297119
1784753727.0404088,47,5588.44,16376.0,220.22,100,2760,3.5043632984161377
1784753727.2905703,47,5588.44,16376.0,220.22,100,2760,3.7545247077941895
1784753727.5407412,47,5588.44,16376.0,220.31,100,2760,4.004695653915405
1784753727.7909133,47,5588.44,16376.0,220.31,100,2760,4.254867792129517
1784753728.0410788,47,5588.44,16376.0,220.5,100,2760,4.505033254623413
1784753728.2912405,47,5588.44,16376.0,220.5,100,2760,4.755194902420044
1784753728.541394,48,5588.44,16376.0,220.52,100,2760,5.005348443984985
1784753728.7915516,48,5588.44,16376.0,220.52,100,2760,5.2555060386657715
1784753729.0417027,48,5588.44,16376.0,220.59,100,2760,5.505657196044922
1784753729.291857,48,5588.44,16376.0,220.59,100,2760,5.755811452865601
1784753729.5420096,48,5588.44,16376.0,220.77,100,2760,6.005964040756226
1784753729.7921708,48,5588.44,16376.0,220.77,100,2760,6.256125211715698
1784753730.0423148,48,5588.44,16376.0,221.0,100,2745,6.506269216537476
1784753730.292461,48,5588.44,16376.0,221.0,100,2745,6.756415367126465
1784753730.5426092,49,5588.44,16376.0,220.35,99,2745,7.006563663482666
1784753730.7927535,49,5588.44,16376.0,220.35,99,2745,7.2567079067230225
1784753731.042896,49,5588.44,16376.0,221.41,100,2745,7.506850481033325
1784753731.293047,49,5588.44,16376.0,221.41,100,2745,7.7570013999938965
1784753731.5432134,49,5588.44,16376.0,221.32,100,2745,8.00716781616211
1784753731.7933865,49,5588.44,16376.0,221.32,100,2745,8.257340908050537
1784753732.0435429,49,5588.44,16376.0,221.44,100,2745,8.507497310638428
1784753732.2937152,49,5588.44,16376.0,221.44,100,2745,8.757669687271118
1784753732.5438583,49,5588.44,16376.0,221.36,100,2745,9.007812738418579
1784753732.7940316,49,5588.44,16376.0,221.36,100,2745,9.257986068725586
1784753733.044205,49,5588.44,16376.0,220.55,100,2745,9.508159399032593
1784753733.2943032,49,5588.44,16376.0,220.55,100,2745,9.758257627487183
1784753733.5444787,50,5588.44,16376.0,221.44,100,2745,10.008433103561401
1784753733.7946272,50,5588.44,16376.0,221.44,100,2745,10.258581638336182
1784753734.0447867,50,5588.44,16376.0,221.56,99,2745,10.5087411403656
